hmdb_id;inchi;cid
HMDB0035770;InChI=1S/C10H14O/c1-7(2)9-5-4-8(3)10(11)6-9/h4-7,11H,1-3H3;10364
HMDB0062720;InChI=1S/C10H14O4S/c1-7(2)9-5-4-8(3)6-10(9)14-15(11,12)13/h4-7H,1-3H3,(H,11,12,13);12456386
HMDB0001227;InChI=1S/C10H15N2O8P/c1-5-3-12(10(15)11-9(5)14)8-2-6(13)7(20-8)4-19-21(16,17)18/h3,6-8,13H,2,4H2,1H3,(H,11,14,15)(H2,16,17,18)/t6-,7+,8+/m0/s1;9700
HMDB0039229;InChI=1S/C10H15N3O5/c11-7(14)3-1-6(10(17)18)13-9(16)5-2-4-8(15)12-5/h5-6H,1-4H2,(H2,11,14)(H,12,15)(H,13,16)(H,17,18)/t5-,6-/m0/s1;11010621
HMDB0038169;InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3;31253
HMDB0035658;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1;440968
HMDB0006525;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m1/s1;82227
HMDB0036559;InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3/t8-,9-/m0/s1;440967
HMDB0035619;InChI=1S/C10H16/c1-7-4-5-8-9(6-7)10(8,2)3/h4,8-9H,5-6H2,1-3H3;26049
HMDB0059839;InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3;6616
HMDB0036081;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3;11142
HMDB0041634;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3/t10-/m0/s1;442484
HMDB0041633;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,6,8,10H,3,5,7H2,1-2H3/t10-/m1/s1;443161
HMDB0005806;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,7-8H,5-6H2,1-3H3;7461
HMDB0035850;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3;7460
HMDB0034970;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3/t10-/m0/s1;443160
HMDB0035851;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3/t10-/m1/s1;442482
HMDB0036994;InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4H,5-7H2,1-3H3;11463
HMDB0094651;InChI=1S/C10H16N2O4/c1-5(2)8(10(15)16)12-9(14)6-3-4-7(13)11-6/h5-6,8H,3-4H2,1-2H3,(H,11,13)(H,12,14)(H,15,16)/t6-,8-/m0/s1;152416
HMDB0041011;InChI=1S/C10H16O/c1-8-5-4-6-10(2,3)9(8)7-11/h7H,4-6H2,1-3H3;9895
HMDB0028805;InChI=1S/C10H17N3O4/c11-6(3-4-8(12)14)9(15)13-5-1-2-7(13)10(16)17/h6-7H,1-5,11H2,(H2,12,14)(H,16,17)/t6-,7-/m0/s1;11736661
HMDB0061795;InChI=1S/C10H18/c1-5-10(4)8-6-7-9(2)3/h5,7,10H,1,6,8H2,2-4H3/t10-/m1/s1;10887985
HMDB0028903;InChI=1S/C10H18N2O5/c1-3-5(2)8(11)9(15)12-6(10(16)17)4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17);14304554
HMDB0028757;InChI=1S/C10H18N2O5/c1-5(2)3-7(10(16)17)12-9(15)6(11)4-8(13)14/h5-7H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17);332962
HMDB0011172;InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-7(13)4-3-6(11)9(14)15/h5-6,8H,3-4,11H2,1-2H3,(H,12,13)(H,14,15)(H,16,17)/t6-,8-/m0/s1;7015683
HMDB0028832;InChI=1S/C10H18N2O5/c1-5(2)8(10(16)17)12-9(15)6(11)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1;6992567
HMDB0029126;InChI=1S/C10H18N2O5/c1-5(2)8(11)9(15)12-6(10(16)17)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1;7009623
HMDB0034367;InChI=1S/C10H18N2O5S/c1-18-5-4-7(10(16)17)12-8(13)3-2-6(11)9(14)15/h6-7H,2-5,11H2,1H3,(H,12,13)(H,14,15)(H,16,17)/t6-,7-/m0/s1;7009567
HMDB0028795;InChI=1S/C10H18N4O5/c11-5(1-3-7(12)15)9(17)14-6(10(18)19)2-4-8(13)16/h5-6H,1-4,11H2,(H2,12,15)(H2,13,16)(H,14,17)(H,18,19)/t5-,6-/m0/s1;7010588
HMDB0036100;InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3;6549
HMDB0036101;InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3/t10-/m1/s1;67179
HMDB0035833;InChI=1S/C10H18O/c1-8(2)10(11)6-4-9(3)5-7-10/h4,8,11H,5-7H2,1-3H3;11230
HMDB0004043;InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3/t9-/m0/s1;442501
HMDB0005812;InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-;643820
HMDB0040726;InChI=1S/C10H18O2/c1-5-10(4)7-6-8(12-10)9(2,3)11/h5,8,11H,1,6-7H2,2-4H3/t8-,10-/m1/s1;6428573
HMDB0028734;InChI=1S/C10H19N3O4/c1-3-5(2)8(10(16)17)13-9(15)6(11)4-7(12)14/h5-6,8H,3-4,11H2,1-2H3,(H2,12,14)(H,13,15)(H,16,17)/t5-,6-,8-/m0/s1;56991460
HMDB0028902;InChI=1S/C10H19N3O4/c1-3-5(2)8(12)9(15)13-6(10(16)17)4-7(11)14/h5-6,8H,3-4,12H2,1-2H3,(H2,11,14)(H,13,15)(H,16,17);4414300
HMDB0028924;InChI=1S/C10H19N3O4/c1-5(2)3-6(11)9(15)13-7(10(16)17)4-8(12)14/h5-7H,3-4,11H2,1-2H3,(H2,12,14)(H,13,15)(H,16,17);4128305
HMDB0028735;InChI=1S/C10H19N3O4/c1-5(2)3-7(10(16)17)13-9(15)6(11)4-8(12)14/h5-7H,3-4,11H2,1-2H3,(H2,12,14)(H,13,15)(H,16,17);18218182
HMDB0029125;InChI=1S/C10H19N3O4/c1-5(2)8(12)9(15)13-6(10(16)17)3-4-7(11)14/h5-6,8H,3-4,12H2,1-2H3,(H2,11,14)(H,13,15)(H,16,17)/t6-,8-/m0/s1;7016045
HMDB0004987;InChI=1S/C10H19N3O5/c11-4-2-1-3-7(10(17)18)13-9(16)6(12)5-8(14)15/h6-7H,1-5,11-12H2,(H,13,16)(H,14,15)(H,17,18)/t6-,7-/m0/s1;6427003
HMDB0094652;InChI=1S/C10H20/c1-5-10(4)8-6-7-9(2)3/h5,9H,6-8H2,1-4H3/b10-5+;5352959
HMDB0029140;InChI=1S/C10H20N2O3/c1-5(2)7(11)9(13)12-8(6(3)4)10(14)15/h5-8H,11H2,1-4H3,(H,12,13)(H,14,15)/t7-,8-/m0/s1;107475
HMDB0028986;InChI=1S/C10H20N2O3S/c1-6(2)8(10(14)15)12-9(13)7(11)4-5-16-3/h6-8H,4-5,11H2,1-3H3,(H,12,13)(H,14,15);23274411
HMDB0029133;InChI=1S/C10H20N2O3S/c1-6(2)8(11)9(13)12-7(10(14)15)4-5-16-3/h6-8H,4-5,11H2,1-3H3,(H,12,13)(H,14,15)/t7-,8-/m0/s1;6993039
HMDB0028917;InChI=1S/C10H20N2O4/c1-4-5(2)7(11)9(14)12-8(6(3)13)10(15)16/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16);18218220
HMDB0029064;InChI=1S/C10H20N2O4/c1-4-5(2)8(10(15)16)12-9(14)7(11)6(3)13/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16)/t5-,6+,7-,8-/m0/s1;57281443
HMDB0029065;InChI=1S/C10H20N2O4/c1-5(2)4-7(10(15)16)12-9(14)8(11)6(3)13/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16)/t6-,7+,8+/m1/s1;7021828
HMDB0028939;InChI=1S/C10H20N2O4/c1-5(2)4-7(11)9(14)12-8(6(3)13)10(15)16/h5-8,13H,4,11H2,1-3H3,(H,12,14)(H,15,16);18218222
HMDB0031409;InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3;12741
HMDB0035765;InChI=1S/C10H20O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-11H,4-6H2,1-3H3;1254
HMDB0037020;InChI=1S/C10H20O/c1-8(2)9-4-6-10(3,11)7-5-9/h8-9,11H,4-7H2,1-3H3;89437
HMDB0035094;InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3/t10-/m0/s1;7793
HMDB0035093;InChI=1S/C10H20O/c1-9(2)5-4-6-10(3)7-8-11/h5,10-11H,4,6-8H2,1-3H3/t10-/m1/s1;101977
HMDB0038602;InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-12-10(2)11/h3-9H2,1-2H3;8164
HMDB0033620;InChI=1S/C10H20O2/c1-3-5-6-7-9-12-10(11)8-4-2/h3-9H2,1-2H3;17525
HMDB0040211;InChI=1S/C10H20O2/c1-3-5-7-8-10(11)12-9-6-4-2/h3-9H2,1-2H3;12294
HMDB0036228;InChI=1S/C10H20O2/c1-4-5-6-7-10(11)12-8-9(2)3/h9H,4-8H2,1-3H3;7775
HMDB0032045;InChI=1S/C10H20O2/c1-4-5-6-7-12-10(11)8-9(2)3/h9H,4-8H2,1-3H3;95978
HMDB0094654;InChI=1S/C10H20O2/c1-4-5-6-7-8-10(11)12-9(2)3/h9H,4-8H2,1-3H3;520710
HMDB0094656;InChI=1S/C10H20O3/c1-2-3-4-5-6-7-8-9(11)10(12)13/h9,11H,2-8H2,1H3,(H,12,13)/t9-/m0/s1;5312797
HMDB0031450;InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3;15600
HMDB0011624;InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3;8174
HMDB0029751;InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H;931
HMDB0001190;InChI=1S/C10H9NO/c12-6-5-8-7-11-10-4-2-1-3-9(8)10/h1-4,6-7,11H,5H2;800
HMDB0035514;InChI=1S/C10H9NO3/c12-9(13)5-7-6-3-1-2-4-8(6)11-10(7)14/h1-4,7H,5H2,(H,11,14)(H,12,13);3080590
HMDB0000978;InChI=1S/C10H9NO4/c11-7-4-2-1-3-6(7)8(12)5-9(13)10(14)15/h1-4H,5,11H2,(H,14,15);472
HMDB0004083;InChI=1S/C10H9NO5/c11-9-5(2-1-3-6(9)12)7(13)4-8(14)10(15)16/h1-3,12H,4,11H2,(H,15,16);440741
HMDB0004096;InChI=1S/C11H11NO3/c1-15-8-2-3-10-9(5-8)7(6-12-10)4-11(13)14/h2-3,5-6,12H,4H2,1H3,(H,13,14);18986
HMDB0006809;InChI=1S/C11H13NO6/c13-5-7-8(14)9(15)10(18-7)12-3-1-2-6(4-12)11(16)17/h1-4,7-10,13-15H,5H2/p+1/t7-,8-,9-,10-/m1/s1;161234
HMDB0028848;InChI=1S/C11H14N2O3/c12-7-10(14)13-9(11(15)16)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,14)(H,15,16);97415
HMDB0028995;InChI=1S/C11H14N2O3/c12-9(11(16)13-7-10(14)15)6-8-4-2-1-3-5-8/h1-5,9H,6-7,12H2,(H,13,16)(H,14,15)/t9-/m0/s1;6992304
HMDB0028853;InChI=1S/C11H14N2O4/c12-6-10(15)13-9(11(16)17)5-7-1-3-8(14)4-2-7/h1-4,9,14H,5-6,12H2,(H,13,15)(H,16,17)/t9-/m0/s1;92829
HMDB0000855;InChI=1S/C11H14N2O5/c12-10(17)6-2-1-3-13(4-6)11-9(16)8(15)7(5-14)18-11/h1-4,7-9,11,14-16H,5H2,(H-,12,17)/p+1/t7-,8-,9-,11-/m1/s1;439924
HMDB0028893;InChI=1S/C11H16N4O3/c12-8(4-7-5-13-6-14-7)10(16)15-3-1-2-9(15)11(17)18/h5-6,8-9H,1-4,12H2,(H,13,14)(H,17,18)/t8-,9-/m0/s1;152322
HMDB0029151;InChI=1S/C11H16N4O5/c12-7(10(17)18)1-2-9(16)15-8(11(19)20)3-6-4-13-5-14-6/h4-5,7-8H,1-3,12H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20)/t7-,8-/m0/s1;7017195
HMDB0041932;InChI=1S/C11H17NO/c1-9(12(2)3)11(13)10-7-5-4-6-8-10/h4-9,11,13H,1-3H3;4374
HMDB0028898;InChI=1S/C11H18N4O3/c1-6(2)9(11(17)18)15-10(16)8(12)3-7-4-13-5-14-7/h4-6,8-9H,3,12H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)/t8-,9-/m0/s1;7021871
HMDB0029129;InChI=1S/C11H18N4O3/c1-6(2)9(12)10(16)15-8(11(17)18)3-7-4-13-5-14-7/h4-6,8-9H,3,12H2,1-2H3,(H,13,14)(H,15,16)(H,17,18)/t8-,9-/m0/s1;7408625
HMDB0094658;InChI=1S/C11H18OS/c1-10(9-13-2)8-11(12)6-4-3-5-7-11/h4,6,9,12H,3,5,7-8H2,1-2H3/b10-9+;5369084
HMDB0062785;InChI=1S/C11H19NO6/c1-7(10(15)16)11(17)18-8(5-9(13)14)6-12(2,3)4/h7-8H,5-6H2,1-4H3,(H-,13,14,15,16)/t7?,8-/m1/s1;131770486
HMDB0060493;InChI=1S/C11H19NO8/c1-4(10(16)17)19-9-7(12-5(2)14)11(18)20-6(3-13)8(9)15/h4,6-9,11,13,15,18H,3H2,1-2H3,(H,12,14)(H,16,17)/t4-,6-,7-,8-,9-,11?/m1/s1;5462244
HMDB0028822;InChI=1S/C11H20N2O5/c1-3-6(2)9(11(17)18)13-10(16)7(12)4-5-8(14)15/h6-7,9H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18)/t6-,7-,9-/m0/s1;9813855
HMDB0028906;InChI=1S/C11H20N2O5/c1-3-6(2)9(12)10(16)13-7(11(17)18)4-5-8(14)15/h6-7,9H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18);18218218
HMDB0028928;InChI=1S/C11H20N2O5/c1-6(2)5-7(12)10(16)13-8(11(17)18)3-4-9(14)15/h6-8H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18);5259590
HMDB0028823;InChI=1S/C11H20N2O5/c1-6(2)5-8(11(17)18)13-10(16)7(12)3-4-9(14)15/h6-8H,3-5,12H2,1-2H3,(H,13,16)(H,14,15)(H,17,18)/t7-,8-/m0/s1;9856500
HMDB0028959;InChI=1S/C11H21N3O3/c12-6-2-1-4-8(13)10(15)14-7-3-5-9(14)11(16)17/h8-9H,1-7,12-13H2,(H,16,17)/t8-,9-/m0/s1;171204
HMDB0028800;InChI=1S/C11H21N3O4/c1-3-6(2)9(11(17)18)14-10(16)7(12)4-5-8(13)15/h6-7,9H,3-5,12H2,1-2H3,(H2,13,15)(H,14,16)(H,17,18)/t6-,7-,9-/m0/s1;57315376
HMDB0028927;InChI=1S/C11H21N3O4/c1-6(2)5-7(12)10(16)14-8(11(17)18)3-4-9(13)15/h6-8H,3-5,12H2,1-2H3,(H2,13,15)(H,14,16)(H,17,18);4305457
HMDB0028801;InChI=1S/C11H21N3O4/c1-6(2)5-8(11(17)18)14-10(16)7(12)3-4-9(13)15/h6-8H,3-5,12H2,1-2H3,(H2,13,15)(H,14,16)(H,17,18)/t7-,8-/m0/s1;44232492
HMDB0004207;InChI=1S/C11H21N3O5/c12-6-2-1-3-8(11(18)19)14-10(17)7(13)4-5-9(15)16/h7-8H,1-6,12-13H2,(H,14,17)(H,15,16)(H,18,19)/t7-,8-/m0/s1;7015704
HMDB0029154;InChI=1S/C11H21N3O5/c12-6-2-1-3-8(11(18)19)14-9(15)5-4-7(13)10(16)17/h7-8H,1-6,12-13H2,(H,14,15)(H,16,17)(H,18,19)/t7-,8-/m0/s1;65254
HMDB0028717;InChI=1S/C11H21N5O3/c12-7(3-1-5-15-11(13)14)9(17)16-6-2-4-8(16)10(18)19/h7-8H,1-6,12H2,(H,18,19)(H4,13,14,15)/t7-,8-/m0/s1;151003
HMDB0028920;InChI=1S/C11H22N2O3/c1-5-7(4)8(12)10(14)13-9(6(2)3)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16);435949
HMDB0029130;InChI=1S/C11H22N2O3/c1-5-7(4)9(11(15)16)13-10(14)8(12)6(2)3/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t7-,8-,9-/m0/s1;7010532
HMDB0029131;InChI=1S/C11H22N2O3/c1-6(2)5-8(11(15)16)13-10(14)9(12)7(3)4/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16)/t8-,9-/m0/s1;6993118
HMDB0028942;InChI=1S/C11H22N2O3/c1-6(2)5-8(12)10(14)13-9(7(3)4)11(15)16/h6-9H,5,12H2,1-4H3,(H,13,14)(H,15,16);352038
HMDB0028913;InChI=1S/C11H22N2O3S/c1-4-7(2)9(12)10(14)13-8(11(15)16)5-6-17-3/h7-9H,4-6,12H2,1-3H3,(H,13,14)(H,15,16);17863274
HMDB0028935;InChI=1S/C11H22N2O3S/c1-7(2)6-8(12)10(14)13-9(11(15)16)4-5-17-3/h7-9H,4-6,12H2,1-3H3,(H,13,14)(H,15,16);118276
HMDB0030941;InChI=1S/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h11H,2-10H2,1H3;8186
HMDB0033713;InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3;8163
HMDB0000947;InChI=1S/C11H22O2/c1-2-3-4-5-6-7-8-9-10-11(12)13/h2-10H2,1H3,(H,12,13);8180
HMDB0062119;InChI=1S/C11H22O2/c1-3-5-7-8-10-13-11(12)9-6-4-2/h3-10H2,1-2H3;70694
HMDB0094659;InChI=1S/C11H22O2/c1-5-6-7-8-9-10(12)13-11(2,3)4/h5-9H2,1-4H3;545258
HMDB0028964;InChI=1S/C11H23N3O3/c1-7(2)9(11(16)17)14-10(15)8(13)5-3-4-6-12/h7-9H,3-6,12-13H2,1-2H3,(H,14,15)(H,16,17)/t8-,9-/m0/s1;6992341
HMDB0029132;InChI=1S/C11H23N3O3/c1-7(2)9(13)10(15)14-8(11(16)17)5-3-4-6-12/h7-9H,3-6,12-13H2,1-2H3,(H,14,15)(H,16,17)/t8-,9-/m0/s1;168058
HMDB0028722;InChI=1S/C11H23N5O3/c1-6(2)8(10(18)19)16-9(17)7(12)4-3-5-15-11(13)14/h6-8H,3-5,12H2,1-2H3,(H,16,17)(H,18,19)(H4,13,14,15)/t7-,8-/m0/s1;6992654
HMDB0029121;InChI=1S/C11H23N5O3/c1-6(2)8(12)9(17)16-7(10(18)19)4-3-5-15-11(13)14/h6-8H,3-5,12H2,1-2H3,(H,16,17)(H,18,19)(H4,13,14,15)/t7-,8-/m0/s1;444523
HMDB0028715;InChI=1S/C11H23N5O3S/c1-20-6-4-8(10(18)19)16-9(17)7(12)3-2-5-15-11(13)14/h7-8H,2-6,12H2,1H3,(H,16,17)(H,18,19)(H4,13,14,15)/t7-,8-/m0/s1;7019989
HMDB0031445;InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3;14257
HMDB0030942;InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11(2)12/h11-12H,3-10H2,1-2H3;15448
HMDB0012897;InChI=1S/C11H8N2/c1-2-4-10-8(3-1)9-5-6-12-7-11(9)13-10/h1-7,13H;64961
HMDB0035196;InChI=1S/C12H10N2/c1-8-12-10(6-7-13-8)9-4-2-3-5-11(9)14-12/h2-7,14H,1H3;5281404
HMDB0001933|DB00695;InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19);3440
HMDB0001940|DB00384;InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19);5546
HMDB0240342;InChI=1S/C12H14N2O4/c1-7(15)14-10(12(17)18)6-11(16)8-4-2-3-5-9(8)13/h2-5,10H,6,13H2,1H3,(H,14,15)(H,17,18)/t10-/m0/s1;54201144
HMDB0094660;InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3;6781
HMDB0041842;InChI=1S/C12H16N2O/c1-14(2)6-5-9-8-13-12-4-3-10(15)7-11(9)12/h3-4,7-8,13,15H,5-6H2,1-2H3;10257
HMDB0028988;InChI=1S/C12H16N2O3/c1-8(12(16)17)14-11(15)10(13)7-9-5-3-2-4-6-9/h2-6,8,10H,7,13H2,1H3,(H,14,15)(H,16,17)/t8-,10-/m0/s1;5488196
HMDB0028694;InChI=1S/C12H16N2O3/c1-8(13)11(15)14-10(12(16)17)7-9-5-3-2-4-6-9/h2-6,8,10H,7,13H2,1H3,(H,14,15)(H,16,17)/t8-,10-/m0/s1;96814
HMDB0029098;InChI=1S/C12H16N2O4/c1-7(12(17)18)14-11(16)10(13)6-8-2-4-9(15)5-3-8/h2-5,7,10,15H,6,13H2,1H3,(H,14,16)(H,17,18);4078684
HMDB0028699;InChI=1S/C12H16N2O4/c1-7(13)11(16)14-10(12(17)18)6-8-2-4-9(15)5-3-8/h2-5,7,10,15H,6,13H2,1H3,(H,14,16)(H,17,18)/t7-,10-/m0/s1;92946
HMDB0029004;InChI=1S/C12H16N2O4/c13-9(6-8-4-2-1-3-5-8)11(16)14-10(7-15)12(17)18/h1-5,9-10,15H,6-7,13H2,(H,14,16)(H,17,18)/t9-,10-/m0/s1;193508
HMDB0029046;InChI=1S/C12H16N2O4/c13-9(7-15)11(16)14-10(12(17)18)6-8-4-2-1-3-5-8/h1-5,9-10,15H,6-7,13H2,(H,14,16)(H,17,18)/t9-,10-/m0/s1;7009598
HMDB0094661;InChI=1S/C12H16O/c1-2-3-9-12(13)10-11-7-5-4-6-8-11/h4-8H,2-3,9-10H2,1H3;33191
HMDB0033143;InChI=1S/C12H18N2O4/c13-11(12(17)18)3-1-2-6-14-9(7-15)4-5-10(14)8-16/h4-5,7,11,16H,1-3,6,8,13H2,(H,17,18);14274616
HMDB0039721;InChI=1S/C12H18O13/c13-1-2(14)7(9(18)19)25-12(5(1)17)24-6-3(15)4(16)11(22)23-8(6)10(20)21/h1-8,11-17,22H,(H,18,19)(H,20,21);4532283
HMDB0033909;InChI=1S/C12H20N2O7/c15-9(12(20)21)1-4-13-7(10(16)17)2-5-14-6-3-8(14)11(18)19/h7-9,13,15H,1-6H2,(H,16,17)(H,18,19)(H,20,21);4641377
HMDB0028888;InChI=1S/C12H20N4O3/c1-3-7(2)10(12(18)19)16-11(17)9(13)4-8-5-14-6-15-8/h5-7,9-10H,3-4,13H2,1-2H3,(H,14,15)(H,16,17)(H,18,19)/t7-,9-,10-/m0/s1;9900065
HMDB0028889;InChI=1S/C12H20N4O3/c1-7(2)3-10(12(18)19)16-11(17)9(13)4-8-5-14-6-15-8/h5-7,9-10H,3-4,13H2,1-2H3,(H,14,15)(H,16,17)(H,18,19)/t9-,10-/m0/s1;189008
HMDB0000489;InChI=1S/C12H21N3O8/c1-4(17)14-8-10(20)9(19)6(3-16)23-11(8)15-7(18)2-5(13)12(21)22/h5-6,8-11,16,19-20H,2-3,13H2,1H3,(H,14,17)(H,15,18)(H,21,22)/t5-,6+,8+,9+,10+,11+/m0/s1;123826
HMDB0000975;InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1;7427
HMDB0000529;InChI=1S/C12H22O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h7-8H,2-6,9-11H2,1H3,(H,13,14)/b8-7-;5312378
HMDB0094665;InChI=1S/C12H24/c1-10(8-11(2,3)4)9-12(5,6)7/h8H,9H2,1-7H3/b10-8+;5365103
HMDB0094666;InChI=1S/C12H24/c1-2-3-4-5-6-7-8-9-12-10-11-12/h12H,2-11H2,1H3;522556
